line,SVG_score,canopy_height,canopy_volume_index,canopy_coverage,ExGR,NGRDI
PI425771,2.867279534,0.369181806,0.561884157,0.204359636,0.204222458,0.122723224
PI425803,3.150486766,0.35440966,0.496069104,0.203247823,0.235179195,0.133692271
PI425811,2.953090137,0.361835941,0.429180069,0.157914539,0.174020709,0.109250932
PI425812,2.969311582,0.347918394,0.516013654,0.207143275,0.207545725,0.125064282
PI425814,3.417916364,0.374468402,0.622651775,0.234398858,0.231877624,0.137973759
PI425815,3.126422471,0.400293247,0.580679951,0.199825693,0.201039539,0.121039565
PI425816,3.306809947,0.379621168,0.566200547,0.218246233,0.225845997,0.126849673
PI425818,2.745168526,0.332205662,0.501624112,0.215550629,0.202437627,0.123293822
PI425822,2.444856083,0.325396335,0.347848745,0.153680938,0.169670007,0.109694907
PI425823,2.840501504,0.346265846,0.402692254,0.164640287,0.202984464,0.122867198
PI425824,2.684028548,0.339461209,0.455285856,0.181198792,0.216396861,0.132788095
PI425832,2.623210035,0.360529856,0.47362229,0.181430402,0.198947239,0.125914215
PI425840,2.717456575,0.387074481,0.504226233,0.178433208,0.192361205,0.119736798
PI425841,3.067049441,0.397926471,0.539272756,0.187075272,0.183300671,0.120214752
PI425842,3.144770863,0.41032107,0.568464847,0.190574797,0.190520818,0.124001261
PI425852,2.532754506,0.353917031,0.446488615,0.167389644,0.19630838,0.121001676
PI425859,3.453645174,0.332259617,0.511459023,0.207530941,0.220989976,0.134388328
PI425862,3.314405058,0.395483763,0.613119504,0.216961652,0.217544191,0.125491092
PI425891,3.479499616,0.385209009,0.51764226,0.194564222,0.199804777,0.121122765
PI425965,2.797356013,0.341658716,0.414593171,0.170240137,0.185312479,0.117852591
PI426026,2.992680848,0.34459692,0.502907952,0.205684766,0.193439051,0.126887804
PI426029,2.758295969,0.331119396,0.433471161,0.188484204,0.176952215,0.113531899
PI426038,3.235287204,0.356175765,0.551412338,0.214724133,0.207580039,0.131145845
PI426039,3.566612236,0.37876111,0.594788823,0.221831037,0.184038137,0.117438327
PI426042,3.558994706,0.378310199,0.568541526,0.21563847,0.21181943,0.129300708
PI426055,3.066996517,0.372636391,0.439824297,0.167370206,0.175802395,0.112276698
PI426058,2.613087539,0.342118905,0.431383256,0.165379865,0.169374459,0.106948741
PI426098,3.046755084,0.361145099,0.486276613,0.174112325,0.202548748,0.116596944
PI426109,2.41992273,0.361465028,0.384404581,0.15255609,0.161554246,0.109571164
PI426118,2.672503605,0.340673208,0.472417372,0.191086681,0.198886012,0.116950404
PI426127,2.84664365,0.365988977,0.470957991,0.178880228,0.177877796,0.113313088
PI426139,2.902960535,0.331435328,0.466779279,0.202720224,0.194452538,0.117028692
PI426149,2.828441365,0.380121234,0.490361066,0.165982096,0.195470454,0.118586009
PI427024,2.673550468,0.335327323,0.37689695,0.158509054,0.191890813,0.113462803
PI427060,3.511136448,0.398613442,0.677168531,0.234199967,0.23082622,0.137344939
PI674166,3.42961406,0.378521456,0.524586317,0.193287992,0.215303983,0.127662339
TypeP,3.192598596,0.3667791,0.537636475,0.206518188,0.193488829,0.120719116
TypeRB,3.204094028,0.380309569,0.571051785,0.197492684,0.189169228,0.120970323
